order,button,folder,page_title,page_url,image_count,note
11,CALLAWAY CHROME SOFT X BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/11 - CALLAWAY CHROME SOFT X BOX,Reload Good-Grade Callaway Chrome Soft X White Golf Balls - 24 Pack,https://www.pgatoursuperstore.com/good-grade-callaway-chrome-soft-x-white-golf-balls---24-pack/2000000063250.html,1,No current new-box Chrome Soft X product found; used closest live PGA-hosted Chrome Soft X imagery.
12,CALLAWAY SUPERSOFT BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/12 - CALLAWAY SUPERSOFT BOX,Callaway Supersoft 2025 Golf Balls,https://www.pgatoursuperstore.com/callaway-supersoft-2025-golf-balls/2000000049486.html,10,Exact/current PGA product page.
13,CALLAWAY WARBIRD BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/13 - CALLAWAY WARBIRD BOX,Callaway Warbird 2025 Golf Balls,https://www.pgatoursuperstore.com/warbird-2025-golf-balls/2000000049485.html,5,Exact/current PGA product page.
14,TAYLORMADE TP5X BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/14 - TAYLORMADE TP5X BOX,TaylorMade TP5x 2026 Golf Balls,https://www.pgatoursuperstore.com/tp5x-2026-golf-balls/2000000058258.html,5,Exact/current PGA product page.
15,TAYLORMADE TP5 BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/15 - TAYLORMADE TP5 BOX,TaylorMade TP5 2026 Golf Balls,https://www.pgatoursuperstore.com/tp5-2026-golf-balls/2000000058254.html,5,Exact/current PGA product page.
16,TAYLORMADE TP5 SLEEVE,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/16 - TAYLORMADE TP5 SLEEVE,TaylorMade TP5 2026 Golf Balls,https://www.pgatoursuperstore.com/tp5-2026-golf-balls/2000000058254.html,5,No separate sleeve product page found on PGA; reused matching TP5 product imagery.
17,TAYLORMADE DISTANCE+ BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/17 - TAYLORMADE DISTANCEPLUS BOX,TaylorMade Distance+ 2025 Golf Balls,https://www.pgatoursuperstore.com/distance-2025-golf-balls/2000000050606.html,6,Exact/current PGA product page.
18,TAYLORMADE TOUR RESPONSE BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/18 - TAYLORMADE TOUR RESPONSE BOX,TaylorMade Tour Response 2026 Golf Balls,https://www.pgatoursuperstore.com/tour-response-2026-golf-balls/2000000058262.html,2,Exact/current PGA product page.
19,SRIXON Z-STAR BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/19 - SRIXON Z-STAR BOX,Srixon Z-Star 9 2025,https://www.pgatoursuperstore.com/z-star-9-2025/2000000050927.html,9,Exact/current PGA product page.
20,SRIXON Q-STAR TOUR BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/20 - SRIXON Q-STAR TOUR BOX,Srixon Q-Star Tour 6 Golf Balls,https://www.pgatoursuperstore.com/q-star-tour-6-golf-balls/2000000059510.html,6,Exact/current PGA product page.
21,SRIXON SOFT FEEL BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/21 - SRIXON SOFT FEEL BOX,Srixon SOFT FEEL Golf Balls,https://www.pgatoursuperstore.com/srixon-soft-feel-golf-balls/2000000050920.html,12,Exact/current PGA product page.
22,BRIDGESTONE TOUR B X BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/22 - BRIDGESTONE TOUR B X BOX,Bridgestone 2026 TOUR B X Golf Balls,https://www.pgatoursuperstore.com/2026-tour-b-x-golf-balls/2000000058275.html,2,Exact/current PGA product page.
23,BRIDGESTONE TOUR B XS BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/23 - BRIDGESTONE TOUR B XS BOX,Bridgestone 2026 TOUR B XS Golf Balls,https://www.pgatoursuperstore.com/2026-tour-b-xs-golf-balls/2000000058277.html,2,Exact/current PGA product page.
24,BRIDGESTONE E6 BOX,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/24 - BRIDGESTONE E6 BOX,Bridgestone e6 Soft 2025 Golf Balls,https://www.pgatoursuperstore.com/e6-soft-2025-golf-balls/2000000051380.html,5,Exact/current PGA product page.
25,LOGO BALL SINGLE,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/25 - LOGO BALL SINGLE,Callaway Supersoft 2025 Single Golf Ball,https://www.pgatoursuperstore.com/supersoft-2025-single-golf-ball/2000000053309.html,6,No exact generic logo-ball-single product found; used closest PGA single ball page with visible ball logo.
26,RANGE BUCKET SMALL,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/26 - RANGE BUCKET SMALL,Complete home practice range,https://www.pgatoursuperstore.com/complete-home-practice-range/1091931.html,1,No separate PGA small range bucket product imagery found; used closest PGA range/practice imagery.
27,RANGE BUCKET LARGE,/Users/girardjustin/Desktop/PGA TOUR Superstore Ball Imagery/27 - RANGE BUCKET LARGE,Complete home practice range,https://www.pgatoursuperstore.com/complete-home-practice-range/1091931.html,1,No separate PGA large range bucket product imagery found; used closest PGA range/practice imagery.
